1,Santiago Lionel,Lorca,30904465,1999-03-17,2201
1,Agustin Emanuel,Zambrano,21689196,2000-05-10,7574
1,Tiago Nicolás,Rivera,34407251,2001-08-29,1033
1,Lautaro Emanuel,Fornerón,22379381,1989-12-14,1570
1,Thiago Benjamin,Sánchez,30375660,1983-06-27,8812
1,Luis Fernando,Mora,22870764,1997-12-23,8189
2,Valentina,Vera,30170921,1982-05-22,6053
2,Santiago,Álvarez,33936970,1986-04-25,7068
2,Martina,Borges,21073376,1994-09-01,6293
2,Joaquin,Valenzuela,23762139,1995-04-10,1502
2,Juan Ignacio,Pereyra,25829297,1981-09-13,4504
2,Sofia,Carranza,23391574,1998-07-06,7574
